Title,Description,Location,Min Education,Min Experience
QA Engineer,"We are looking for a Quality Assurance (QA) engineer to develop and execute exploratory and automated tests to ensure product quality.QA engineer responsibilities include designing and implementing tests, debugging and defining corrective actions. You will also review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts.)Ultimately, you should monitor all stages of software development to identify and resolve system malfunctions to meet quality standards.ResponsibilitiesReview requirements, specifications and technical design documents to provide timely and meaningful feedbackCreate detailed, comprehensive and well-structured test plans and test casesEstimate, prioritize, plan and coordinate testing activitiesDesign, develop and execute automation scripts using open source toolsIdentify, record, document thoroughly and track bugsPerform thorough regression testing when bugs are resolvedDevelop and apply testing processes for new and existing products to meet client needsLiaise with internal teams (e.g. developers and product managers) to identify system requirementsMonitor debugging process resultsInvestigate the causes of non-conforming software and train users to implement solutionsTrack quality assurance metrics, like defect densities and open defect countsStay up-to-date with new testing tools and test strategiesRequirements and skillsProven work experience in software developmentProven work experience in software quality assuranceStrong knowledge of software QA methodologies, tools and processesExperience in writing clear, concise and comprehensive test plans and test casesHands-on experience with both white box and black box testingHands-on experience with automated testing toolsSolid knowledge of SQL and scriptingExperience working in an Agile/Scrum development processExperience with performance and/or security testing is a plusBS/MS degree in Computer Science, Engineering or a related subject.","Islamabad, Rawalpindi, Pakistan",Bachelors,Less than 1 Year
Senior Backend Developer,"The Team: The team is responsible for workflow digitization using Appian, low code automation platform. You will have the opportunity to work with people from a wide variety of backgrounds and will be able to develop a close team dynamic with coworkers from around the globe.The Impact: We are in search of a highly motivated individual who is ready to take their career to the next level in a fast-growing company. Do you love defining solutions to complex business problems as well as getting in the trenches and working with the team to get the work done? Do you like working with state of the art technology?What’s in it for you: You will be a contributing member of an Agile Scrum team accountable for delivering high quality software to customersBuild a career with a global companyGrow and improve your skills by working on enterprise level workflow automation and new technologiesResponsibilities: Design, architecture, and development of highly scalable workflow automation projectsWork as a senior developer with extensive on hands development for the entire SDLCWork closely with Development Team, Scrum Master product owner, technology partners to understand and clarify requirementsAnalyze, isolate issues, and resolve themProduce system design documents and lead technical walk trough’sContinuously improve the architecture and quality of the codeWhat We’re Looking For: Basic Qualifications:Bachelor's /Master’s Degree in Computer Science, Information Systems or equivalent.5+ years of experience in application development using Java technologiesStrong expertise and knowledge in JavaScript, Database, Data Structures, SQL Server, Web APIs, Object Oriented Programming (OOP), Service Oriented Architecture (SOA)Preferred Qualifications:Proficient with software development lifecycle (SDLC) methodologies like Agile, ScrumPython, OData APIs, SQL for XML, Front end Development, BPM, LDAP, SAMLExcellent communication skills are essential, with strong verbal and writing proficienciesFamiliarity with web services, FTP, JMS, and other web integration technologiesRobotic Process Automation experience can be preferredKnowledgeable in working with building software in the Financial Industry and Capital MarketsFlexible Working (optional)We pride ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We will always try to be adaptable wherever we can.Return to WorkHave you taken time out for caring responsibilities and are now looking to return to work? As part of our Return to Work initiative (link to career site page when available), we are encouraging enthusiastic and talented returners to apply, and will actively support your return to the workplace.Grade/Level (relevant for internal applicants only): 08, 09 & 10The Location: Islamabad, PakistanAbout Company Statement:S&P Global delivers essential intelligence that powers decision making. We provide the world’s leading organizations with the right data, connected technologies and expertise they need to move ahead. As part of our team, you’ll help solve complex challenges that equip businesses, governments and individuals with the knowledge to adapt to a changing economic landscape.S&P Global Market Intelligence partners with customers to broaden their perspective and operate with confidence by bringing them leading data sources and technologies that embed insight in their daily work.#LI-USA-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)","Islamabad, Pakistan",Null,Null
Mobile App Developer,"We are looking for an Mobile App Developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working alongside other designers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.Major Responsibilities:As a “Mobile App Developer”, you will own the end-to-end delivery of mobile applications.Design and development of mission-critical native applications using Java for Android.Building and maintaining innovative features in applications.Submitting mobile applications to app stores.Write XML layout, positioning and server-side code for apps.Translate designs and wireframes into high-quality codeDesign, build and maintain high-performance, reusable, and reliable Java codeEnsure the best possible performance, quality, and responsiveness of the applicationIdentify and correct bottlenecks and fix bugsWork collaboratively in cross-functional teams to develop fully working, tested and deployed software.Communicate progress daily and be clear what help you need and can offer to others.Unit-test code for robustness, including edge cases, usability, and general reliability.Produce fully functional mobile applications writing clean code.Work on bug fixing and improving application performance.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.An effective team player with the ability to work on his own initiative in order to achieve urgent deadlines.Thrives in any busy fast-moving work environment.Excellent time management skills with a proven ability to work comfortably under pressure in order to get a job done.As a member of the Scrum team, participate in daily stand-up meetings, project status meetings as well as retrospective meetings and iteration reviews.Adhere to best practices and coding standards in all development projects.Takes ownership for resolving domain-specific related problems, which directly or indirectly impact on operational services or development activities.Ensure new and legacy applications meet quality standards.Solid understanding of the full mobile development life cycle.The solid command in Java programming with the flexibility to work with Android SDK.Working on Google Maps & Navigation APIsSkills:Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizesFamiliarity with RESTful APIs to connect Android applications to back-end servicesStrong knowledge of Android UI design principles, patterns, and best practicesExperience with offline storage, threading, and performance tuningAbility to design applications around natural user interfaces, such as “touch”Familiarity with the use of additional sensors, such as gyroscopes and accelerometersKnowledge of the open-source Android ecosystem and the libraries available for common tasksAbility to understand business requirements and translate them into technical requirementsFamiliarity with cloud message APIs and push notificationsA knack for benchmarking and optimizationUnderstanding of Google’s Android design principles and interface guidelinesProficient understanding of code versioning tools, such as GitFamiliarity with continuous integration Qualifications and Experience:BS/MS degree in Computer Science, IT, Software Engineering, or in a relevant field.1-2 years of Android development experience.","Faisalabad, Pakistan",Bachelors,1 Year - 2 Years
Sr. Odoo Developer,"We deliver our customers peace of mind every day by helping them protect what they value most. Our passion for placing the customer at the center of everything we do is driving a transformational shift at WADICOperating as an Agile team as a USA based company, we are on the front edge of an IT transformation for how people work and deliver solutions. Our passion for placing the user at the center of everything we do is driving our incremental approach to software feature development and delivery.About the job:Able to identify the requirement and propose a good alternative solution to client requirement Design and develop Odoo Apps (New Module Development, Customization).Must-Have Minimum 2-3 years of experience as Odoo Developer Strong knowledge of Python and Programming concepts. Knowledge of Linux flavored Operating System Odoo framework knowledge·Bachelors degree in Computer Science, Computer Engineering, or equivalentNice to Have Contribution to Open Source Projects Interest in Enterprise application development Techno-Functional expertise","Lahore, Pakistan",Bachelors,2 Years - 3 Years
Quantitative Specialist - Investment Management,"The Role: Quantitative Specialist, Investment ManagementGrade: (relevant for internal applicants only) 08/09The Location: Islamabad, PKThe Team: The Investment Management Quantitative Specialist will be expected to identify, analyze, and propose solutions specific to the technical and quantitative capabilities offered by S&P Global Market Intelligence.The Impact: Each Specialist develops a broad awareness of S&P Global Market Intelligence enterprise content delivery/data management capabilities and becomes a knowledge expert in the ClariFI Platform and other workflow tools (i.e. Alteryx, Tableau, APIs) offered through Market Intelligence in addition to the associated technology used to support client solutions. Candidates who have a strong technical background in computer/software engineering, data science, or other numerate fields who lack a formal Finance background but have a proven interest and ability to learn quickly are encouraged to apply What’s in it for you:Design and deliver technical solutions to internal and external clients. Act as a regional Investment Management market feedback consolidation source for regional product, content, and delivery enhancements. Work closely with Product Management to provide feedback and rank enhancement requests.Provide product training to clients, and document technical client interactions in Salesforce to share with the broader organization.Learn and understand new datasets as they are deployed through the Xpressfeed loader, ClariFI, or other mechanism, and communicate the advantages of these datasets effectively to clients and prospects.Responsibilities:The Investment Management Quantitative Specialist is a client-facing representative for S&P Global Market Intelligence. Their responsibilities include:Act as a product specialist for the ClariFI Platform by understanding the application of ClariFI for complex buy side workflows, conducting training, troubleshooting problems, answering product questions, and providing complex daily product support to a client base of equity research analysts, portfolio managers, data scientists and risk management professionals.Advise users on financial modeling, numerical analysis, and process efficiencies.Assist the trial process with a thorough understanding of the client’s workflow, and how Market Intelligence’s content; feed and platform solutions (including ClariFI and various enterprise delivery platforms) may enhance that workflow.Conduct product demos as needed and help to design the best solution to fit a prospect’s or client’s needs.Develop a complete understanding of competitors’ products and be able to articulate Market Intelligence’s relative capabilities.Facilitate a positive experience for the client by bringing together the appropriate resources within Market Intelligence and the client’s organization.Possess a firm understanding of the diagnostic commercial processWhat we’re looking for:Backgrounds vary among Investment Management Quantitative Consultants, but technical skills is key. We are looking for someone who has programming skills and has worked on machine learning or data science projects More junior candidates are also considered who are able to learn quickly and work independently within a team framework.Basic Qualifications:Degree in a technical discipline such as Computer Science, Science or Engineering.Mastery of various scripting languages (Python, R, SQL, etc)Good understanding of the equity investment process (with a focus on quantitative security analysis)Excellent communication, training and presentation skills. Preferred Qualifications:Cloud certifications AWS, Azure etcData visualization tools like Tableau, Power BI, Qlik Sense, AlteryxKnowledge of Compustat or Capital IQ products (data, software, or feeds) is a plus.A good understanding of fundamental data is a plusAbout S&P Global Market Intelligence: At S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep and insightful. We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuation and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction. S&P Global Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit -----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), ANLYTC202.1 - Middle Professional Tier I (EEO Job Group)","Islamabad, Pakistan",Null,Null
Backend Engineer - Java,"Navhoo a start-up in Tech Mobility is looking for a Java backend engineer.What you'll needBachelor's Degree in Computer Science or other related technical field.4+ years of professional software development experience.Working experience with at least one modern object-oriented programming language such as Java, php.Experience with system design and architectureWorking knowledge of Computer Science fundamentals including: object-oriented design, data structures and algorithms.Experience operating online systems reliably including deploying changes to production in live systems.Preferred skills & qualifications:Master's Degree in Computer Science or other related technical field.Experience with Spring Boot, CodeIgnitor.Experience working with relational and non-relational database systems.Experience applying professional software engineering best practices, including coding standards, code reviews, source control management, build processes, testing, and operations.Knowledge of Docker and Kubernetes is a plus.Knowledge of Cloud platform such as AWS is a plus.Package:We work after 5pm GMT hours 3-4 hours (weekday) and 5-8 hours (weekends), two holidays on Sundays (2nd week and 4th week).Pay negotiable for first 6 months 80k-100k PKR (monthly), afterwards will review as per requirements.","Greater London, United Kingdom",Bachelors,4 Years
"Application Associate, DMS Onboarding","The Role: Application Associate, DMS On-boardingThe Location: Islamabad, Pakistan​The Work shift: Rotational shifts - Following US and EMEA/APAC hours The Team: The Data Management Solutions (DMS) On-Boarding team understands the complexities involved with our datafeed/API products and is responsible for reviewing and facilitating entitlement requests involving our DMS platforms. This entails managing the fulfilment cases created after Sales Opportunities/Quotes are submitted for DMS platforms; reviewing the product components in these Trials/New Sales/Renewals; understanding package relationships, technical dependencies, and licensing requirements; and working with our Fulfillment team to ensure that the client has the correct entitlements. The team is in constant communication with Datafeed Application Specialists (DAS), Relationship Managers (RM), Sales and Product Managers (PM) and will be expected to understand our DMS product and processes.Our team culture is built on proactiveness, business excellence, both independence and interdependence, continuous learning, and improvement, with everyone working towards a common goal to support the Commercial Organization and the company's business overall.The Impact: This team acts as a gatekeeper and ensures that clients receive the correct product and packages for all DMS products. It includes the process from the moment that the fulfilment request is created until the Fulfillment Team adds what is requested by Commercial teams and ultimately by the client. You will be encouraged to raise improvements to the process and update the procedures. By enthusiastically identifying issues with the process, the Associate will help provide excellent support to our internal customers.What’s in it for you:It will provide you with an opportunity to learn and improve your knowledge about our DMS products, processes, and business.You will liaise with different stakeholders and your input will make a difference regarding the overall customer experience.You will have an integral part of the product development cycle and roll out.Responsibilities:You will have exposure to the whole range of DMS product and will be expected to understand end-to-end the operational side of the business, along with each of the products provided.The process involves reviewing Trials/New Sales/Renewals and its product components, approvals, and third-party licenses by confirming the correct product components are added so the client receives the product and data as expected. The job involves keeping the information correctly documented in Salesforce and being able to manage/improve/update the different tools used by the DMS team for the completion of the on boarding of clients. This position requires attention to detail as it involves validation of approvals and third- party licenses by confirming the correct product components are added so the client receives the product and data as expected.You will need to demonstrable evidence of planning and organization skills and can work quickly and accurately in a pressured environment. Ability to remain positive and calm and project a “can do” attitude. The candidate will be in continuous communication with Application Specialists, Relationship Managers, Salesreps and Product Managers Ensure strong lines of communication and working relationships are maintained at all times across the team, stakeholders, process owners, and business partners – developing trust and accountability, and recognizing that a strong working relationship is in the best interest of our customers.What we’re looking for:Basic Qualifications:Have a bachelor’s degree in Finance, Business, Accounting, Economics, Computer Science, Mathematics, or related field with 0 to 1 year experienceExcellent English communication and analytical skillsPositive attitude with qualities of a great teammateProblem-solving and thinking out of the boxAbility to adapt and be flexible to changing requirements and proceduresAbility to take ownership and execute tasks independentlyYou must be willing to work in rotational shifts (1- or 2-months rotations) to support the three regions.Preferred Qualifications:Having previous knowledge of our DMS products and/or the data feed businessMS Excel previous experience is highly desirable Experience using Salesforce.comAdvance excel, VBA knowledge or interest, or basic coding interest desirableAbout S&P Global Market Intelligence:At S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep, and insightful. We integrate financial and industry data, research, and news into tools that help track performance, generate alpha, identify investment ideas, understand industry dynamics, perform valuation, and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction. Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies, and governments to make decisions with confidence. For more information, visit: S&P Global Market IntelligenceS&P Global is an equal opportunity employer committed to making all employment decisions on the basis of merit, capability and equality of opportunity, and without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law, or any other characteristic that has no bearing on a person’s ability to perform his or her job.-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), OPRTON203 - Entry Professional (EEO Job Group)","Islamabad, Pakistan",Null,Null
Senior Technical Project Manager,"We are looking for a highly skilled and experienced Technical Project Manager to join our dynamic team. As a Technical Project Manager, you will be responsible for leading and managing software development projects from initiation to completion, ensuring timely delivery, quality, and customer satisfaction. You will work closely with cross-functional teams, including software engineers, designers, quality assurance analysts, and stakeholders, to ensure project success. The ideal candidate should have a strong background in software engineering, project management methodologies, and excellent communication and leadership skills. Responsibilities Coordinate internal resources and third parties/vendors for the flawless execution of projects· Ensure that all projects are delivered on-time and within the scope· Developing project scopes and objectives, involving all relevant stakeholders· Ensure resource availability and allocation· Manage the full lifecycle of complex software development projects from initiation to closure Develop a detailed project plan to track progress· Work closely with cross-functional teams, including software developers, UX designers, QA engineers, and business stakeholders, to define project requirements and deliverables. Use appropriate verification techniques to manage changes in project scope and schedule· Measure project performance using appropriate systems, tools, and techniques· Work with other APMs and PMs for the process improvements· Manage the relationship with the client and all stakeholders· Perform risk management to minimize project risks· Create and maintain comprehensive project documentation Requirements: Must have 4 years of bachelor’s degree at least, preferably in the fields of computer science or engineering for technical project managers· At least 6 years of experience as a Technical Project Manager, leading and delivering complex technical projects successfully. Excellent client-facing and internal communication skills· Excellent written and verbal communication skills· Proven knowledge of software Agile development· Strong knowledge of task management tools like (JIRA/Confluence, Trello, GitHub). Solid organizational skills including attention to detail and multi-tasking skills. Fluent in English to communicate effectively.","Islamabad, Faisalabad, Gujranwala, Lahore, Rawalpindi, Gujrat, Pakistan",Bachelors,6 Years - 7 Years
Data Associate,"The Team:Our team governs processes and controls to ensure the highest quality customer master data that is trusted, timely, accurate, and consistent. The team consists of highly trained and motivated professionals on our tools, processes, and workflows who strive to deliver superior client experience and includes overseeing every aspect of the data lifecycle: creating, preparing, using, storing, archiving, and deleting data, in accordance with an organization’s established data governance principles for promoting data quality and integrity. You will closely coordinate with teams such as client buying experience, CRM Operations, Order Management, Fulfillment, Marketing, and Finance teams to ensure effective data governance reporting and analytics. The Impact:Our internal client data is used by stakeholders in Finance, Commercial (Sales and Marketing), OTC and Product management teams for key business decisions so making sure we are providing timely and accurate data that is trusted by our users is critical. The Reporting & Analytics lead would be required to create business opportunities and solve problems through the analysis of large and complex data sets. Moreover, the ability to critically analyze the data using various approaches and tools that helps to transform raw details into meaningful intelligence would play a critical role in solving business problems. Through this opportunity, the individual can provide strategic direction and support in exploring new opportunities through predictive analysis and general insights about the data. What's in it for you: Be a part of an industry leading, Fortune 500 company. Learn, adopt, and implement data governance best practices that impact positively across commercial value stream. Gain wealth of experience by dealing with varied set of stakeholder and business processes. Opportunity to strengthen business processes and implement your innovative ideas. Opportunity to learn and develop professional competencies. Opportunity to work across multiple regions, divisions, experience a diverse and inclusive culture. Responsibilities: Primarily responsible for data correction, cleansing and quality assurance of data collected and processed in salesforce. Serve as a data quality resource and point of contact for managing data issues, doing root cause analysis and proactive data quality checks to ensure accuracy and comprehensiveness. Proactively catalogue and provide mitigation steps for existing quality issues. Use and transform commercial and Finance data to produce descriptive, predictive, and prescriptive analyses. Working with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Coordinate with different functional teams to implement models and monitor outcomes. Conceive, plan and lead projects in line with department’s current and future strategy. Manage, organize, clean up (LEAN) and improve all existing reports significant to the business. Perform and understand data extraction and analysis from various sources. (Salesforce.com, SQL, etc.) What We’re Looking For: We are looking for a smart professional who possess learning aptitude and growth mindset.A result-oriented individual who take actions to solve business problems, provide analytical insights and interested in learning the overall processes and data quality strategies.A self-starter who enjoys managing their own time and tasksAbility to communicate and collaborate with colleagues at all levels of the organization. Basic Qualifications: Must have a bachelor’s degree (preferably in the field of Business Management studies, Finance, or Computer sciences). 2 to 3 years of working experience in related field. Knowledge of statistical concepts with ability to do both quantitative and qualitative analysis.Intermediate to advanced Excel knowledge (complex formulas, pivot tables, charting, power tools).Strong analytical and problem-solving skills.Proven ability to solve complex problems that require deep data analysis skills. Knowledge of SOQL (salesforce object query language) and data warehouse experience is also preferred. Strong knowledge of large data manipulation skills. Demonstrate investigative research and analytical capabilities necessary to leadership team with accurate and insightful interpretation of financial information. Strong attention to detail and analytical ability with an inquisitive mind. Ability to work independently and as a fully contributing member of a team. Ability to multi-task, work under pressure and meet tight deadlines. Excellent communication skills, both written and oral. Willingness to work in evening/night shift.Flexible Working (optional) We pride ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We will always try to be adaptable wherever we can. The Location: The role will be located in India, Pakistan, or Philippines. About S&P Global At S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep, and insightful. We integrate financial and industry data, research, and news into tools that help track performance, generate alpha, identify investment ideas, understand industry dynamics, perform valuation, and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction. Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies, and governments to make decisions with confidence. For more information, visit: S&P Global Market Intelligence S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or other legally protected categories, subject to applicable law. -----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), SLSGRP203 - Entry Professional (EEO Job Group)","Islamabad, Pakistan",Null,Null
Product Research Executive,"Coordination with relevant departments from product approval till the product is delivered for saleCoordinate and resolve blockades in the product supply chain process so that it is smoothly deliveredIdentify any shortcomings/Gaps in the product approval process and suggest changes theretoContinuously work on product life cycle improvement, so that product life can be increased with profitability.Monitor returns on products and take measures to reduce the return rateDiscontinue ill-performing products Make sure products remain in stock through coordination with procurement and other departments Overall responsibility of products from approval till it is discontinued will stand with the product owner.Required Skills:Must be a graduate in computer science. At least 1-3 year experience in some data-related job. Know how to extract, compile and report data. Can work independently. Sharp and energetic. Good communication skills. Excellent coordination skills. Can work with cross-teams. Can take high level of ownership. Can see the whole picture not just parts. Adaptable and growth oriented.Qualification & Experience:Graduation and above preferably in Supply Chain Management.More than 2-3 years of experience in Relevant Field Perks and Benefits:Work from home modelMarket competitive salaryInternet and Gym allowanceHome-office set upAnnual Performance AppraisalHealth insuranceLeaves (Medical, Casual, Maternity, and Paternity)Employee development and engagement activities Note: Leverify is an equal employment opportunity employer.","Islamabad, Rawalpindi, Pakistan",Bachelors,2 Years - 3 Years
Data Engineer,"Role: Data EngineerLocation: Work from homeJob Type: Full-time (Permanent)Job summaryAs a Data Engineer, you will use various methods to transform raw data into useful data systems and then connect those systems with dashboards and various reports. For example, you’ll create algorithms and conduct statistical analysis. Overall, you’ll strive for efficiency by aligning data systems with business goals. You will need to understand business requirements and implement solutions with efficiency and Optimization..Job Description:Analyze and organize raw data Build data systems and pipelinesEvaluate business needs and objectivesInterpret trends and patternsConduct complex data analysis and report on results Prepare data for prescriptive and predictive modelingBuild algorithms and prototypesCombine raw information from different sourcesExplore ways to enhance data quality and reliabilityIdentify opportunities for data acquisitionDevelop analytical tools and programsCollaborate with data scientists and architects on several projectsRequired Skills:Excel, Google Sheets (Advance)Google app script (medium)Looker Studio (Advance)Power BIBig QuerySQLQualification & Experience:A Bachelor's or Master Degree in Computer Science or Data Science.Related experience of at least 2 year requiredPerks and Benefits:Market competitive salaryInternet and Gym allowanceHome-office set upAnnual Performance appraisalHealth insuranceLeaves (Medical, Casual, Maternity, and Paternity)Employee development and engagement activitiesNote: Leverify is an equal employment opportunity employer.","Islamabad, Rawalpindi, Pakistan",Bachelors,2 Years
